Label,Time,ID,Signal1,Signal2,Signal3,Signal4
0,2240.88561837,id3,1.0,1.0,,
0,2865.47555051,id1,0.0001101210491514,0.25,,
0,3080.88561837,id3,0.2,1.0,,
0,3840.47555051,id1,0.0117816110413011,0.25,,
0,4295.01151446,id8,0.2683475373736254,,,
0,4428.72381342,id5,0.0021360076922613,0.8826134621751096,,
0,4625.01151446,id8,0.2712517337179876,,,
0,5580.36445933,id9,0.4369262659164939,,,
0,5643.72381342,id5,6.423600307529866e-05,0.8818537023056263,,
0,6003.72381342,id5,5.236840150713723e-05,0.8833218683934572,,
0,6097.42128366,id7,0.0784258453794254,0.5,,
0,6542.64339647,id1,0.0197291036308957,0.25,,
0,6662.64339647,id1,0.028577682882297,1.0,,
0,7625.88561837,id3,0.8,1.0,,
0,7687.42128366,id7,0.0739197397992219,0.75,,
0,7745.88561837,id3,0.0,1.0,,
0,7972.42128366,id7,0.072151813095234,0.5,,
0,8600.88561837,id3,0.6,1.0,,
0,8748.72381342,id5,0.0025753337762941,0.9246618211807872,,
0,8763.51200647,id2,0.0,0.0004768437533826,0.236333570140957,
0,9708.72381342,id5,0.0359079257190919,0.9036440477032188,,
0,9832.04424034,id8,0.2280612658595187,,,
0,10953.3880455,id1,0.0,0.0,,
0,11044.2789365,id6,0.8947368421052632,0.8888888888888888,,
0,11163.3880455,id1,0.0,1.0,,
0,11707.3426112,id8,0.2572524250713759,,,
0,11932.0161834,id4,0.0356799999999999,,,
0,12528.3880455,id1,0.0,0.0,,
0,12847.3426112,id8,0.2782523269162652,,,
0,12965.8856184,id3,0.0,1.0,,
0,13173.7238134,id5,0.1309129742674586,0.8873915661592936,,
0,13204.2789365,id6,0.8947368421052632,0.0,,
0,13882.3426112,id8,0.2430832654071517,,,
0,13955.8856184,id3,0.0,1.0,,
0,14797.5195395,id8,0.2596416058176108,,,
0,15053.5722207,id7,0.0704279365467892,1.0,,
0,15095.8856184,id3,0.8,1.0,,
0,15112.5195395,id8,0.2741549058351081,,,
0,15183.3880455,id1,0.0008808978027956,0.5,,
0,15333.5120065,id2,0.0,0.0,0.2764163398936465,
0,15934.0527813,id10,0.3709244364189254,0.1111111111111111,0.844084834149291,0.0993759156257583
0,16057.5195395,id8,0.2861069549297338,,,
0,16443.3880455,id1,0.0,0.25,,
0,16608.3880455,id1,0.0,0.5,,
0,16611.2337546,id3,0.6,1.0,,
0,16684.1092227,id5,0.0513888024602389,0.8839143334630885,,
0,16999.1092227,id5,0.0019913160953342,0.8856272466233791,,
0,17078.9651259,id7,0.0707811772624984,1.0,,
0,17422.5195395,id8,0.2601555971884963,,,
0,18609.2321794,id7,0.0646392954449346,0.25,,
0,19761.7612489,id3,0.6,1.0,,
0,19973.0770356,id8,0.3028358291759667,,,
0,20063.0770356,id8,0.3038600564178507,,,
0,20463.3880455,id1,0.0,1.0,,
0,20734.2789365,id6,0.868421052631579,0.1111111111111111,,
0,20799.6426222,id7,0.0680856346953076,0.5,,
0,20993.0770356,id8,0.2548618786888185,,,
0,21096.7612489,id3,0.4,1.0,,
0,21469.4164494,id5,0.1245766706881081,0.8624459765126115,,
0,22339.4164494,id5,0.0069374883321322,0.8601793507812373,,
0,22624.4164494,id5,0.0,0.8580800725742032,,
0,23134.4164494,id5,0.0,0.8563285123643406,,
0,23316.7612489,id3,0.0,1.0,,
0,24210.3644593,id9,0.309002072845721,,,
0,24379.5704282,id1,0.0,0.0,,
0,24505.2382335,id7,0.1330417422167889,1.0,,
0,25009.4164494,id5,0.0001548569444137,0.8378221644150939,,
0,25069.0527813,id10,0.3286111966449251,0.6666666666666666,0.800378445356089,0.0645515199771497
0,25219.4164494,id5,0.0001548569444137,0.8372040225198941,,
0,25594.2789365,id6,0.8421052631578947,0.3333333333333333,,
